,company_name,best_match,best_score
22756,globus medical,globus medical,100
22758,servicenow,servicenow,100
22866,ptc therapeutics,ptc therapeutics,100
22941,innophos,innophos,100
23022,amicus therapeutics,amicus therapeutics,100
23126,shutterfly,shutterfly,100
23140,arno therapeutics,arno therapeutics,100
23177,rosetta genomics,rosetta genomics,100
23184,infinity pharmaceuticals,infinity pharmaceuticals,100
23234,armstrong world industries,armstrong world industries,100
23295,hansen medical,hansen medical,100
23338,aerogrow international,aerogrow international,100
23547,accuray,accuray,100
23574,location based technologies,location based technologies,100
23696,monotype imaging,monotype imaging,100
23732,novabay pharmaceuticals,novabay pharmaceuticals,100
23762,limelight networks,limelight networks,100
23910,comscore,comscore,100
24033,mimedx group,mimedx group,100
24118,telesat,telesat,100
24130,targanta therapeutics,targanta therapeutics,100
24212,aryx therapeutics,aryx therapeutics,100
24245,internet brands,internet brands,100
24289,entropic communications,entropic communications,100
24334,orion energy systems,orion energy systems,100
24458,mako surgical,mako surgical,100
24558,dr pepper snapple group,dr pepper snapple group,100
24613,codexis,codexis,100
25000,medidata solutions,medidata solutions,100
25001,arca biopharma,arca biopharma,100
25111,myrexis,myrexis,100
25113,nanotech entertainment,nanotech entertainment,100
25255,sorrento therapeutics,sorrento therapeutics,100
25375,eco building products,eco building products,100
25389,blue earth,blue earth,100
25467,trius therapeutics,trius therapeutics,100
25541,ironwood pharmaceuticals,ironwood pharmaceuticals,100
25618,cricut,cricut,100
25642,catalent pharma solutions,catalent pharma solutions,100
25647,genmark diagnostics,genmark diagnostics,100
25716,amyris,amyris,100
25727,quad/graphics,quad/graphics,100
25766,erickson,erickson,100
25818,tesla,tesla,100
25875,invensense,invensense,100
26008,targa resources,targa resources,100
26379,targeted medical pharma,targeted medical pharma,100
26431,fusion-io,fusion-io,100
26601,liveone,liveone,100
26668,ceres,ceres,100
26792,aspen aerogels,aspen aerogels,100
26827,zeltiq aesthetics,zeltiq aesthetics,100
26852,argos therapeutics,argos therapeutics,100
27070,synageva biopharma,synageva biopharma,100
27100,bioamber,bioamber,100
27125,capri,capri,100
27197,united microelectronics,united microelectronics,100
27204,abb,abb,100
27294,morphosys ag,morphosys ag,100
27397,alnylam pharmaceuticals,alnylam pharmaceuticals,100
27402,nuvasive,nuvasive,100
27404,angiodynamics,angiodynamics,100
514,communications systems,communication systems,98
4652,marrone bio innovtions,marrone bio innovations,98
9006,arrowhead pharmaceutical,arrowhead pharmaceuticals,98
9080,aladdin knowledge system,aladdin knowledge systems,98
9725,guilford pharmaceutical,guilford pharmaceuticals,98
9889,nanobac pharmaceutical,nanobac pharmaceuticals,98
10282,miravant medical technolgies,miravant medical technologies,98
14101,power 3 medical products,power3 medical products,98
14863,ventana medical system,ventana medical systems,98
14979,systemone technologies,system one technologies,98
15935,progenics pharmaceutical,progenics pharmaceuticals,98
17570,curaegis technologies,curegis technologies,98
19418,alliance fiber optic product,alliance fiber optic products,98
22364,taxus cardium pharmaceuticls,taxus cardium pharmaceuticals,98
27278,dr reddy's laboratories,dr reddy''s laboratories,98
8578,tricord systems,tricor systems,97
10330,advantage solutions,advantage solutions/,97
10489,restoration robotic,restoration robotics,97
10694,denali therapeutcs,denali therapeutics,97
13524,caribou bioscience,caribou biosciences,97
16622,orbite technologies,orbit technologies,97
17846,varian semiconductor equipmt,varian semiconductor equipment,97
